instance_id,model,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,travel_time_per_edge,average_travel_time_per_edge,total_one_way_travel_time,battery_capacity_multiplier,optimistic_minimum_energy,battery_capacity,battery_headroom,terrain_profiles,terrain_edges,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,travel_time_in_plan,estimated_travel_time,stationary_time,energy_used,battery_remaining,battery_utilization_ratio,battery_feasible,route_metrics_valid,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-battery-n2-mem-high-corr-low-seed-13,battery,13,2,high,1.0,8.0,8.0,1.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[4, 4]","[3, 3]","[12.0, 14.0]","[15.0, 18.5]",solved,True,sat-hadd,30.0,0.352054,0,30,16.0,16.0,9.0,9.0,7.0,14.0,26.0,0.35,True,True,8,4,2,2,6,16.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-low-seed-13.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-low-seed-13.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-low-seed-13.txt,
rover-battery-n2-mem-high-corr-low-seed-14,battery,14,2,high,1.0,8.0,8.0,1.0,,1.75,3.5,4.0,10.0,40,30.0,"[""moderate"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[2, 6]","[3, 4]","[14.0, 12.0]","[17.0, 16.0]",solved,True,sat-hadd,30.0,0.349653,0,29,15.0,15.0,7.0,7.0,8.0,10.0,30.0,0.25,True,True,8,4,2,2,6,15.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-low-seed-14.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-low-seed-14.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-low-seed-14.txt,
rover-battery-n2-mem-high-corr-medium-seed-10,battery,10,2,high,1.0,8.0,8.0,1.0,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",medium,2,0,True,"[6, 2]","[5, 5]","[10.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.369817,0,30,16.0,16.0,10.0,10.0,6.0,16.0,24.0,0.4,True,True,8,4,2,2,6,16.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-10.txt,
rover-battery-n2-mem-high-corr-medium-seed-11,battery,11,2,high,1.0,11.0,11.0,1.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[5, 6]","[5, 5]","[10.0, 8.0]","[15.0, 13.0]",solved,True,sat-hadd,30.0,0.383035,0,31,17.0,17.0,9.0,9.0,8.0,14.0,26.0,0.35,True,True,8,4,2,2,6,17.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-11.txt,
rover-battery-n2-mem-high-corr-medium-seed-12,battery,12,2,high,1.0,9.0,9.0,1.0,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",medium,2,0,True,"[5, 4]","[4, 3]","[10.0, 6.0]","[14.0, 10.0]",solved,True,sat-hadd,30.0,0.349975,0,29,15.0,15.0,8.0,8.0,7.0,12.0,28.0,0.3,True,True,8,4,2,2,6,15.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-12.txt,
rover-battery-n2-mem-high-corr-medium-seed-13,battery,13,2,high,1.0,8.0,8.0,1.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[4, 4]","[3, 3]","[8.0, 10.0]","[11.0, 14.5]",solved,True,sat-hadd,30.0,0.352937,0,27,13.0,13.0,9.0,9.0,4.0,14.0,26.0,0.35,True,True,8,4,2,2,5,13.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-13.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-13.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-13.txt,
rover-battery-n2-mem-high-corr-medium-seed-14,battery,14,2,high,1.0,8.0,8.0,1.0,,1.75,3.5,4.0,10.0,40,30.0,"[""moderate"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[2, 6]","[3, 4]","[10.0, 8.0]","[13.0, 12.0]",solved,True,sat-hadd,30.0,0.357105,0,28,14.0,14.0,7.0,7.0,7.0,10.0,30.0,0.25,True,True,8,4,2,2,6,14.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-14.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-14.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-medium-seed-14.txt,
rover-battery-n2-mem-high-corr-high-seed-10,battery,10,2,high,1.0,8.0,8.0,1.0,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",high,2,0,True,"[6, 2]","[5, 5]","[5.0, 5.0]","[10.0, 10.0]",solved,True,sat-hadd,30.0,0.386368,0,25,11.0,11.0,10.0,10.0,1.0,16.0,24.0,0.4,True,True,8,4,2,2,5,11.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-10.txt,
rover-battery-n2-mem-high-corr-high-seed-11,battery,11,2,high,1.0,11.0,11.0,1.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",high,2,0,True,"[5, 6]","[5, 5]","[5.0, 4.0]","[10.0, 9.0]",solved,True,sat-hadd,30.0,0.391529,0,26,12.0,12.0,9.0,9.0,3.0,14.0,26.0,0.35,True,True,8,4,2,2,5,12.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-11.txt,
rover-battery-n2-mem-high-corr-high-seed-12,battery,12,2,high,1.0,9.0,9.0,1.0,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",high,2,0,True,"[5, 4]","[4, 3]","[5.0, 3.0]","[9.0, 7.0]",solved,True,sat-hadd,30.0,0.365363,0,24,10.0,10.0,8.0,8.0,2.0,12.0,28.0,0.3,True,True,8,4,2,2,5,10.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-high-corr-high-seed-12.txt,
