dataset_count,instances,mean_runtime,median_runtime,p90_runtime,maximum_runtime,timeouts
2,45,0.3981004222222222,0.383965,0.44866239999999996,0.48176,0
3,45,0.7974136888888889,0.528247,1.7546880000000002,3.43856,0
4,45,9.357989844444445,7.314771,25.3450488,30.119575,3
