memory_level,solved_instances,mean_makespan,median_makespan,mean_moves,median_moves,mean_energy_used,median_energy_used,mean_battery_remaining,median_battery_remaining,mean_battery_utilization
low,21,25.761904761904763,24.0,7.714285714285714,6.0,24.571428571428573,24.0,15.428571428571429,16.0,0.6142857142857143
medium,42,28.11904761904762,29.0,8.952380952380953,10.0,30.476190476190474,31.0,9.523809523809524,9.0,0.7619047619047619
high,45,23.822222222222223,24.0,7.777777777777778,8.0,26.57777777777778,28.0,13.422222222222222,12.0,0.6644444444444444
