dataset_count,solved_instances,mean_makespan,median_makespan,mean_moves,median_moves,mean_energy_used,median_energy_used,mean_battery_remaining,median_battery_remaining
2,45,19.044444444444444,19.0,5.333333333333333,6.0,18.266666666666666,18.0,21.733333333333334,22.0
3,36,30.02777777777778,30.0,9.777777777777779,10.0,31.555555555555557,34.0,8.444444444444445,6.0
4,27,31.703703703703702,32.0,10.962962962962964,10.0,38.2962962962963,40.0,1.7037037037037037,0.0
