analysis,level_1,level_2,statistic,p_value,median_paired_difference,matched_blocks,holm_adjusted_p
Standard runtime: dataset_count,2,3,8.0,1.4210854715202004e-12,-0.140525,45,1.4210854715202004e-12
Standard runtime: dataset_count,2,4,0.0,5.684341886080802e-14,-6.883458,45,1.7053025658242404e-13
Standard runtime: dataset_count,3,4,0.0,5.684341886080802e-14,-5.871141000000001,45,1.7053025658242404e-13
Standard runtime: memory_level,low,medium,212.0,0.0003685130175767881,0.15050200000000002,45,0.0007801477108273502
Standard runtime: memory_level,low,high,205.0,0.0002600492369424501,0.09317500000000001,45,0.0007801477108273502
Standard runtime: memory_level,medium,high,350.0,0.05894415956885268,0.029895000000000005,45,0.05894415956885268
Standard runtime: corruption_level,low,medium,160.0,2.0934967835728457e-05,0.028910999999999965,45,2.0934967835728457e-05
Standard runtime: corruption_level,low,high,56.0,3.6620804166886955e-09,0.09737400000000002,45,7.324160833377391e-09
Standard runtime: corruption_level,medium,high,46.0,1.0891199053730816e-09,0.07280199999999998,45,3.2673597161192447e-09
